timestamp,strategy,mode,action,direction,symbol,right,strike,expiry,qty,spot,entry_price,exit_price,pnl,cum_pnl,reason,ref
2026-08-04 09:50:22,LongStrangle,PAPER,EXIT,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,,32.75,31.0,-113.75,,STOP_LOSS,
2026-08-04 09:51:24,LongStrangle,PAPER,ENTRY,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,24640.95,32.8,,,,,
2026-08-04 09:52:53,LongStrangle,PAPER,EXIT,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,,32.8,31.0,-116.99999999999982,,TRAILING_SL,
2026-08-04 09:55:32,LongStrangle,PAPER,ENTRY,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,24638.4,33.0,,,,,
2026-08-04 09:57:00,LongStrangle,PAPER,EXIT,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,,33.0,31.4,-104.00000000000009,,TRAILING_SL,
2026-08-04 09:59:09,SMA Crossover,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24650-PE,PE,24650.0,2026-08-11,65,24635.3,143.4,,,,,
2026-08-04 10:01:08,HeikinAshi,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24650-PE,PE,24650.0,2026-08-11,65,24629.8,143.7,,,,,
2026-08-04 10:04:04,SMA Crossover,PAPER,EXIT,SHORT,NIFTY-Aug2026-24650-PE,PE,24650.0,2026-08-11,65,,143.4,144.25,55.24999999999963,,OPPOSITE_SIGNAL,
2026-08-04 10:04:20,SMA Crossover,PAPER,ENTRY,LONG,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-11,65,24629.4,131.3,,,,,
2026-08-04 10:09:05,SMA Crossover,PAPER,EXIT,LONG,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-11,65,,131.3,128.8,-162.5,,OPPOSITE_SIGNAL,
2026-08-04 10:09:10,SMA Crossover,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,24618.0,122.7,,,,,
2026-08-04 10:09:35,Renko,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,24614.4,123.8,,,,,
2026-08-04 10:14:05,SMA Crossover,PAPER,EXIT,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,,122.7,122.25,-29.250000000000185,,OPPOSITE_SIGNAL,
2026-08-04 10:14:10,SMA Crossover,PAPER,ENTRY,LONG,NIFTY-Aug2026-24600-CE,CE,24600.0,2026-08-11,65,24617.85,154.95,,,,,
2026-08-04 10:24:08,Multi Timeframe,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,24595.4,127.1,,,,,
2026-08-04 10:29:03,SMA Crossover,PAPER,EXIT,LONG,NIFTY-Aug2026-24600-CE,CE,24600.0,2026-08-11,65,,154.95,147.9,-458.24999999999886,,OPPOSITE_SIGNAL,
2026-08-04 10:29:08,SMA Crossover,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,24595.1,130.25,,,,,
